wals code,name,value,description,latitude,longitude,genus,family
sha,Shan,3,Complex tone system,22.0,98.0,Kam-Tai,Tai-Kadai
shs,Shasta,2,Simple tone system,41.8333333333,-122.666666667,Shasta,Hokan
shk,Shipibo-Konibo,1,No tones,-7.5,-75.0,Panoan,Pano-Tacanan
shi,Shiriana,1,No tones,3.5,-62.8333333333,Yanomam,Yanomam
shu,Shuswap,1,No tones,52.0,-120.0,Interior Salish,Salishan
sdh,Sindhi,1,No tones,26.0,69.0,Indic,Indo-European
snh,Sinhala,1,No tones,7.0,80.5,Indic,Indo-European
srn,Sirion\'f3,1,No tones,-15.5833333333,-64.0,Maweti-Guarani,Tupian
sla,Slave,2,Simple tone system,67.0,-125.0,Athapaskan,Na-Dene
som,Somali,2,Simple tone system,3.0,45.0,Lowland East Cushitic,Afro-Asiatic
soq,Soqotri,1,No tones,12.5,54.0,Semitic,Afro-Asiatic
sor,Sora,1,No tones,20.0,84.3333333333,Munda,Austro-Asiatic
spa,Spanish,1,No tones,40.0,-4.0,Romance,Indo-European
squ,Squamish,1,No tones,49.6666666667,-123.166666667,Central Salish,Salishan
sre,Sre,2,Simple tone system,11.5,108.0,Bahnaric,Austro-Asiatic
sue,Suena,2,Simple tone system,-7.75,147.55,Binanderean,Trans-New Guinea
sui,Sui,3,Complex tone system,26.0,107.5,Kam-Tai,Tai-Kadai
sup,Supyire,3,Complex tone system,11.5,-5.58333333333,Senufo,Niger-Congo
swa,Swahili,1,No tones,-6.5,39.0,Bantu,Niger-Congo
sba,S\'e1liba (in Colombia),1,No tones,6.0,-70.0,S\'e1liba,S\'e1liban
tab,Taba,1,No tones,0.0,127.5,South Halmahera - West New Guinea,Austronesian
tac,Tacana,1,No tones,-13.5,-68.0,Tacanan,Pano-Tacanan
tag,Tagalog,1,No tones,15.0,121.0,Greater Central Philippine,Austronesian
tma,Tama,3,Complex tone system,14.5,22.0,Taman,Eastern Sudanic
tam,Tamang (Eastern),2,Simple tone system,27.5,85.666666666667,Bodic,Sino-Tibetan
tmp,Tampulma,2,Simple tone system,10.4166666667,-0.583333333333,Grusi,Niger-Congo
tok,Tarok,3,Complex tone system,9.0,10.0833333333,Benue-Congo Plateau,Niger-Congo
tas,Tashlhiyt,1,No tones,31.0,-5.0,Berber,Afro-Asiatic
tsg,Tausug,1,No tones,6.0,121.0,Greater Central Philippine,Austronesian
teh,Tehuelche,1,No tones,-48.0,-68.0,Chonan Proper,Chonan
tks,Teke (Southern),2,Simple tone system,-2.33333333333,14.5,Bantu,Niger-Congo
tel,Telugu,1,No tones,16.0,79.0,Dravidian,Dravidian
tmn,Temein,2,Simple tone system,11.9166666667,29.4166666667,Temein,Eastern Sudanic
tne,Temne,2,Simple tone system,8.66666666667,-13.0833333333,Northern Mel,Niger-Congo
ter,Tera,3,Complex tone system,11.0,11.8333333333,Biu-Mandara,Afro-Asiatic
ttn,Tetun,1,No tones,-9.0,126.0,Central Malayo-Polynesian,Austronesian
tha,Thai,3,Complex tone system,16.0,101.0,Kam-Tai,Tai-Kadai
tib,Tibetan (Standard Spoken),2,Simple tone system,30.0,91.0,Bodic,Sino-Tibetan
tic,Ticuna,3,Complex tone system,-4.0,-70.5,Ticuna,Ticuna
tgk,Tigak,1,No tones,-2.71666666667,150.8,Oceanic,Austronesian
tgr,Tigr\'e9,1,No tones,16.5,38.5,Semitic,Afro-Asiatic
try,Tiruray,1,No tones,6.75,124.166666667,Bilic,Austronesian
twn,Tiwa (Northern),2,Simple tone system,36.5,-105.5,Kiowa-Tanoan,Kiowa-Tanoan
tiw,Tiwi,1,No tones,-11.5,131.0,Tiwian,Tiwian
tlp,Tlapanec,3,Complex tone system,17.0833333333,-99.0,Subtiaba-Tlapanec,Oto-Manguean
tli,Tlingit,2,Simple tone system,59.0,-135.0,Tlingit,Na-Dene
toa,Toaripi,1,No tones,-8.33333333333,146.25,Eleman,Eleman
tol,Tol,1,No tones,14.6666666667,-87.0,Tol,Tol
ton,Tonkawa,1,No tones,30.25,-96.75,Tonkawa,Tonkawa
dts,Toro So,2,Simple tone system,14.4166666667,-3.25,Dogon,Dogon
tpa,Totonac (Papantla),1,No tones,20.3333333333,-97.3333333333,Totonacan,Totonacan
tru,Trumai,1,No tones,-11.9166666667,-53.5833333333,Trumai,Trumai
tsi,Tsimshian (Coast),1,No tones,52.5,-129.0,Tsimshianic,Tsimshianic
tso,Tsou,1,No tones,23.5,120.75,Tsou,Austronesian
ttu,Tsova-Tush,1,No tones,42.5,45.5,Nakh,Nakh-Daghestanian
tug,Tuareg (Ahaggar),1,No tones,23.0,6.0,Berber,Afro-Asiatic
tuk,Tukang Besi,1,No tones,-5.5,123.5,Celebic,Austronesian
tul,Tulu,1,No tones,12.75,75.3333333333,Dravidian,Dravidian
tur,Turkish,1,No tones,39.0,35.0,Turkic,Altaic
tuv,Tuvan,1,No tones,52.0,95.0,Turkic,Altaic
tza,Tzeltal (Aguacatenango),1,No tones,16.4166666667,-92.5,Mayan,Mayan
umb,UMbundu,2,Simple tone system,-12.5,15.0,Bantu,Niger-Congo
una,Una,2,Simple tone system,-4.66666666667,140.0,Mek,Trans-New Guinea
ung,Ungarinjin,1,No tones,-16.3333333333,126.0,Worrorran,Worrorran
urk,Urub\'fa-Kaapor,1,No tones,-2.33333333333,-46.5,Maweti-Guarani,Tupian
usa,Usan,1,No tones,-4.83333333333,145.166666667,North Adelbert,Trans-New Guinea
uzn,Uzbek (Northern),1,No tones,40.6666666667,66.5,Turkic,Altaic
vie,Vietnamese,3,Complex tone system,10.5,106.5,Vietic,Austro-Asiatic
wah,Wahgi,2,Simple tone system,-5.83333333333,144.716666667,Chimbu-Wahgi,Trans-New Guinea
bno,Waimaha,2,Simple tone system,0.333333333333,-70.25,Tucanoan,Tucanoan
wam,Wambaya,1,No tones,-18.6666666667,135.75,Wambayan,Mirndi
wnt,Wantoat,1,No tones,-6.16666666667,146.5,Finisterre,Trans-New Guinea
wao,Waorani,1,No tones,-1.0,-76.5,Waorani,Waorani
wps,Wapishana,1,No tones,2.66666666667,-60.0,Negro-Roraima,Arawakan
wap,Wappo,1,No tones,38.5,-122.5,Wappo,Wappo-Yukian
wra,Warao,1,No tones,9.33333333333,-61.6666666667,Warao,Warao
wry,Waray (in Australia),1,No tones,-13.1666666667,131.25,Western Gunwinyguan,Gunwinyguan
wrd,Wardaman,1,No tones,-15.5,131.0,Yangmanic,Yangmanic
war,Wari',1,No tones,-11.3333333333,-65.0,Chapacura-Wanham,Chapacura-Wanham
wma,West Makian,1,No tones,0.5,127.583333333,North Halmaheran,North Halmaheran
wdo,Western Desert (Ooldea),1,No tones,-30.5,132.0,Western Pama-Nyungan,Pama-Nyungan
wic,Wichita,1,No tones,33.3333333333,-97.3333333333,Northern Caddoan,Caddoan
wch,Wich\'ed,1,No tones,-22.5,-62.5833333333,Matacoan,Matacoan
wmu,Wik Munkan,1,No tones,-13.9166666667,141.75,Northern Pama-Nyungan,Pama-Nyungan
win,Wintu,1,No tones,41.0,-122.5,Wintuan,Penutian
wiy,Wiyot,1,No tones,40.8333333333,-124.166666667,Wiyot,Algic
woi,Woisika,1,No tones,-8.25,124.833333333,Alor-Pantar,Greater West Bomberai
wlf,Wolof,1,No tones,15.25,-16.0,Wolof,Niger-Congo
wuc,Wu,3,Complex tone system,31.6666666667,119.916666667,Chinese,Sino-Tibetan
ygr,Yagaria,2,Simple tone system,-6.33333333333,145.416666667,Siane-Yagaria,Trans-New Guinea
yag,Yagua,2,Simple tone system,-3.5,-72.0,Peba-Yaguan,Peba-Yaguan
ykt,Yakut,1,No tones,62.0,130.0,Turkic,Altaic
yan,Yana,1,No tones,40.5,-122.0,Yana,Hokan
yny,Yanyuwa,1,No tones,-16.4166666667,137.166666667,Western Pama-Nyungan,Pama-Nyungan
yap,Yapese,1,No tones,9.58333333333,138.166666667,Yapese,Austronesian
yaq,Yaqui,2,Simple tone system,27.5,-110.25,Cahita,Uto-Aztecan
yar,Yareba,1,No tones,-9.5,148.5,Yareban,Trans-New Guinea
yaw,Yawa,1,No tones,-1.75,136.25,Yawa,Yawa
yay,Yay,3,Complex tone system,22.4166666667,104.75,Kam-Tai,Tai-Kadai
yel,Yel\'ee Dnye,1,No tones,-11.3666666667,154.166666667,Yele,Yele
yes,Yessan-Mayo,1,No tones,-4.16666666667,142.583333333,Tama Sepik,Sepik
yey,Yeyi,2,Simple tone system,-20.0,23.5,Bantu,Niger-Congo
yid,Yidiny,1,No tones,-17.0,145.75,Northern Pama-Nyungan,Pama-Nyungan
yim,Yimas,1,No tones,-4.66666666667,143.55,Lower Sepik,Ramu-Lower Sepik
yor,Yoruba,3,Complex tone system,8.0,4.33333333333,Defoid,Niger-Congo
yct,Yucatec,2,Simple tone system,20.0,-89.0,Mayan,Mayan
yuc,Yuchi,1,No tones,35.75,-86.75,Yuchi,Yuchi
ycn,Yucuna,1,No tones,-0.75,-71.0,Japura-Colombia,Arawakan
yko,Yukaghir (Kolyma),1,No tones,65.75,150.833333333,Yukaghir,Yukaghir
ytu,Yukaghir (Tundra),1,No tones,69.0,155.0,Yukaghir,Yukaghir
yul,Yulu,3,Complex tone system,8.5,25.25,Bongo-Bagirmi,Central Sudanic
yus,Yupik (Siberian),1,No tones,65.0,-173.0,Eskimo,Eskimo-Aleut
yur,Yurok,1,No tones,41.3333333333,-124.0,Yurok,Algic
zan,Zande,2,Simple tone system,4.0,26.0,Ubangi,Niger-Congo
zqc,Zoque (Copainal\'e1),1,No tones,17.0,-93.25,Mixe-Zoque,Mixe-Zoque
zul,Zulu,2,Simple tone system,-30.0,30.0,Bantu,Niger-Congo
zun,Zuni,1,No tones,35.0833333333,-108.833333333,Zuni,Zuni
